strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
040500070211,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
041402011302,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
050301010701,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
051201150211,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
070400080207,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080401030404,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
080702020106,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
111303030703,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
020802030304,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031002070205,bRBWOx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
